# DNS_Attack Threat Feed
# Generated: 2026-09-05T18:42:58.297117+00:00
# Source: Ethical Threat Feeds by Devs, for Devs
# Total IPs: 123
# Expiry: 30 days rolling window
#
# Format: IP_ADDRESS | SEVERITY | SIGNATURE | COUNTRY | FIRST_SEEN | LAST_SEEN | COUNT
#

2.57.17.19 | LOW | GPL DNS named version attempt | GB | 2026-08-31 | 2026-08-31 | 1
85.217.149.45 | LOW | GPL DNS named version attempt | CA | 2026-08-18 | 2026-08-18 | 1
85.217.149.58 | LOW | GPL DNS named version attempt | CA | 2026-08-28 | 2026-08-28 | 1
85.217.149.63 | LOW | GPL DNS named version attempt | CA | 2026-09-02 | 2026-09-02 | 1
85.217.149.65 | LOW | GPL DNS named version attempt | CA | 2026-09-01 | 2026-09-01 | 1
85.217.149.71 | LOW | GPL DNS named version attempt | CA | 2026-08-30 | 2026-08-30 | 1
89.37.172.142 | LOW | GPL DNS named version attempt | GB | 2026-08-27 | 2026-08-27 | 1
91.196.152.119 | LOW | GPL DNS named version attempt | FR | 2026-09-04 | 2026-09-04 | 1
91.196.152.150 | LOW | GPL DNS named version attempt | FR | 2026-08-14 | 2026-08-14 | 2
91.231.89.5 | LOW | GPL DNS named version attempt | FR | 2026-08-21 | 2026-08-21 | 1
93.123.109.61 | LOW | GPL DNS named version attempt | AD | 2026-08-19 | 2026-08-19 | 1
94.231.206.153 | LOW | GPL DNS named version attempt | CN | 2026-08-31 | 2026-08-31 | 1
94.231.206.155 | LOW | GPL DNS named version attempt | CN | 2026-08-10 | 2026-08-10 | 1
94.231.206.250 | LOW | GPL DNS named version attempt | CN | 2026-08-17 | 2026-08-17 | 1
100.29.192.43 | LOW | GPL DNS named version attempt | US | 2026-08-31 | 2026-08-31 | 1
101.36.97.74 | LOW | GPL DNS named version attempt | GB | 2026-08-30 | 2026-08-30 | 1
104.152.52.124 | LOW | GPL DNS named version attempt | US | 2026-08-12 | 2026-08-12 | 1
104.152.52.144 | LOW | GPL DNS named version attempt | US | 2026-08-27 | 2026-08-27 | 1
104.152.52.211 | LOW | GPL DNS named version attempt | US | 2026-08-31 | 2026-08-31 | 1
106.57.254.2 | LOW | GPL DNS named version attempt | CN | 2026-08-27 | 2026-08-27 | 1
106.75.24.225 | LOW | GPL DNS named version attempt | CN | 2026-09-02 | 2026-09-02 | 1
107.150.117.121 | LOW | GPL DNS named version attempt | DE | 2026-08-14 | 2026-08-14 | 1
118.26.36.200 | LOW | GPL DNS named version attempt | HK | 2026-09-04 | 2026-09-04 | 1
118.26.37.105 | LOW | GPL DNS named version attempt | HK | 2026-08-17 | 2026-08-17 | 1
118.26.104.93 | LOW | GPL DNS named version attempt | GB | 2026-09-02 | 2026-09-02 | 2
118.193.38.163 | LOW | GPL DNS named version attempt | HK | 2026-08-22 | 2026-08-22 | 1
130.211.111.231 | LOW | GPL DNS named version attempt | BE | 2026-09-03 | 2026-09-03 | 1
147.185.132.31 | LOW | GPL DNS named version attempt | US | 2026-08-14 | 2026-08-14 | 1
147.185.132.162 | LOW | GPL DNS named version attempt | US | 2026-08-12 | 2026-08-12 | 1
147.185.132.255 | LOW | GPL DNS named version attempt | US | 2026-08-28 | 2026-08-28 | 1
151.245.151.85 | LOW | GPL DNS named version attempt | FR | 2026-08-31 | 2026-08-31 | 1
151.245.151.89 | LOW | GPL DNS named version attempt | CZ | 2026-09-01 | 2026-09-01 | 1
154.16.44.16 | LOW | GPL DNS named version attempt | GB | 2026-09-02 | 2026-09-02 | 1
165.22.207.195 | LOW | GPL DNS named version attempt | NL | 2026-08-23 | 2026-08-23 | 1
165.154.10.165 | LOW | GPL DNS named version attempt | NG | 2026-08-11 | 2026-08-11 | 2
165.154.120.253 | LOW | GPL DNS named version attempt | TH | 2026-08-16 | 2026-08-16 | 1
167.99.40.73 | LOW | GPL DNS named version attempt | NL | 2026-08-26 | 2026-08-26 | 1
172.233.117.214 | LOW | GPL DNS named version attempt | ES | 2026-08-19 | 2026-08-19 | 1
184.105.247.199 | LOW | GPL DNS named version attempt | US | 2026-08-12 | 2026-08-12 | 1
185.180.141.14 | LOW | GPL DNS named version attempt | US | 2026-08-30 | 2026-08-30 | 1
185.226.197.32 | LOW | GPL DNS named version attempt | NL | 2026-09-01 | 2026-09-01 | 1
185.247.137.50 | LOW | GPL DNS named version attempt | GB | 2026-08-30 | 2026-08-30 | 1
185.247.137.111 | LOW | GPL DNS named version attempt | GB | 2026-08-20 | 2026-08-20 | 1
185.247.137.132 | LOW | GPL DNS named version attempt | GB | 2026-08-11 | 2026-08-11 | 1
185.247.137.220 | LOW | GPL DNS named version attempt | GB | 2026-09-02 | 2026-09-02 | 1
188.240.59.3 | LOW | GPL DNS named version attempt | GB | 2026-09-03 | 2026-09-03 | 1
192.51.188.6 | LOW | GPL DNS named version attempt | HK | 2026-09-03 | 2026-09-03 | 1
195.96.139.85 | LOW | GPL DNS named version attempt | GB | 2026-08-17 | 2026-08-17 | 1
195.184.76.3 | LOW | GPL DNS named version attempt | US | 2026-08-25 | 2026-08-25 | 1
198.235.24.27 | LOW | GPL DNS named version attempt | US | 2026-09-01 | 2026-09-01 | 1
198.235.24.78 | LOW | GPL DNS named version attempt | US | 2026-08-31 | 2026-08-31 | 1
198.235.24.131 | LOW | GPL DNS named version attempt | US | 2026-09-03 | 2026-09-03 | 1
198.235.24.163 | LOW | GPL DNS named version attempt | US | 2026-08-16 | 2026-08-16 | 1
198.235.24.181 | LOW | GPL DNS named version attempt | US | 2026-08-11 | 2026-08-11 | 1
198.235.24.224 | LOW | GPL DNS named version attempt | US | 2026-09-01 | 2026-09-01 | 1
198.235.24.243 | LOW | GPL DNS named version attempt | US | 2026-08-13 | 2026-08-13 | 1
199.45.154.65 | LOW | GPL DNS named version attempt | HK | 2026-09-03 | 2026-09-03 | 1
199.45.155.20 | LOW | GPL DNS named version attempt | HK | 2026-08-27 | 2026-08-27 | 1
199.45.155.79 | LOW | GPL DNS named version attempt | HK | 2026-08-10 | 2026-08-10 | 1
199.45.155.95 | LOW | GPL DNS named version attempt | HK | 2026-08-26 | 2026-08-26 | 1
205.185.114.87 | LOW | GPL DNS named version attempt | US | 2026-08-21 | 2026-08-21 | 1
205.210.31.97 | LOW | GPL DNS named version attempt | US | 2026-08-22 | 2026-08-22 | 1
205.210.31.164 | LOW | GPL DNS named version attempt | US | 2026-08-23 | 2026-08-23 | 1
205.210.31.253 | LOW | GPL DNS named version attempt | US | 2026-08-23 | 2026-08-23 | 1
207.175.140.171 | LOW | GPL DNS named version attempt | BE | 2026-08-16 | 2026-08-16 | 1
216.180.246.134 | LOW | GPL DNS named version attempt | FR | 2026-08-13 | 2026-08-13 | 1
216.180.246.161 | LOW | GPL DNS named version attempt | FR | 2026-08-31 | 2026-08-31 | 1
216.180.246.241 | LOW | GPL DNS named version attempt | FR | 2026-08-28 | 2026-08-28 | 1
220.202.112.244 | LOW | GPL DNS named version attempt | US | 2026-08-18 | 2026-08-18 | 2
223.167.205.18 | LOW | GPL DNS named version attempt | CN | 2026-09-01 | 2026-09-01 | 2
