# Unknown Threat Feed
# Generated: 2026-09-22T02:00:50.338221+00:00
# Source: Ethical Threat Feeds by Devs, for Devs
# Total IPs: 125
# Expiry: 30 days rolling window
#
# Format: IP_ADDRESS | SEVERITY | SIGNATURE | COUNTRY | FIRST_SEEN | LAST_SEEN | COUNT
#

2.57.122.53 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 1 | NL | 2026-08-24 | 2026-08-24 | 1
78.159.131.21 | LOW | GPL SMTP vrfy root | AL | 2026-09-02 | 2026-09-02 | 1
80.83.26.130 | LOW | ET WEB_SERVER WebShell Generic - wget http - POST | LB | 2026-08-30 | 2026-08-30 | 1
80.94.95.197 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 11 | HU | 2026-08-25 | 2026-08-25 | 1
80.94.95.242 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 11 | HU | 2026-08-25 | 2026-08-26 | 2
85.11.167.90 | LOW | ET WEB_SPECIFIC_APPS WordPress Plugin Gravity SMTP Unauthenticated REST API (CVE-2026-4020) | NL | 2026-09-09 | 2026-09-09 | 1
85.11.167.225 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 12 | NL | 2026-08-24 | 2026-08-25 | 2
91.92.40.202 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 15 | NL | 2026-08-24 | 2026-08-24 | 1
91.92.241.196 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 15 | NL | 2026-08-25 | 2026-08-25 | 1
92.118.39.65 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 16 | US | 2026-08-24 | 2026-08-24 | 1
92.118.39.72 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 16 | US | 2026-08-24 | 2026-08-24 | 1
92.118.39.204 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 16 | NL | 2026-08-23 | 2026-08-23 | 1
92.118.39.209 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 16 | NL | 2026-08-23 | 2026-08-23 | 1
92.118.39.212 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 16 | NL | 2026-08-23 | 2026-08-23 | 1
92.118.39.214 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 16 | NL | 2026-08-24 | 2026-08-24 | 1
92.118.39.224 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 16 | NL | 2026-08-23 | 2026-08-24 | 2
92.118.39.225 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 16 | NL | 2026-08-24 | 2026-08-24 | 1
92.118.39.227 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 16 | NL | 2026-08-24 | 2026-08-24 | 1
92.118.39.229 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 16 | NL | 2026-08-23 | 2026-08-23 | 1
92.118.39.231 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 16 | NL | 2026-08-23 | 2026-08-23 | 1
92.118.39.232 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 16 | NL | 2026-08-23 | 2026-08-23 | 1
93.123.109.53 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 16 | AD | 2026-08-25 | 2026-08-25 | 1
93.123.109.234 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 16 | AD | 2026-08-24 | 2026-08-24 | 1
93.152.221.67 | LOW | ET EXPLOIT Hikvision IP Camera RCE Attempt (CVE-2021-36260) | DE | 2026-09-20 | 2026-09-20 | 1
94.154.43.51 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 17 | NL | 2026-08-26 | 2026-08-26 | 1
94.154.43.84 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 17 | NL | 2026-08-23 | 2026-08-26 | 3
94.154.43.122 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 17 | NL | 2026-08-23 | 2026-08-23 | 1
94.154.43.125 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 17 | NL | 2026-08-25 | 2026-08-25 | 1
94.154.43.135 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 17 | NL | 2026-08-23 | 2026-08-23 | 1
94.154.43.158 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 17 | NL | 2026-08-24 | 2026-08-24 | 1
94.154.43.180 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 17 | NL | 2026-08-24 | 2026-08-24 | 1
94.154.43.196 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 17 | NL | 2026-08-24 | 2026-08-24 | 1
95.131.73.70 | LOW | ET WEB_SERVER WebShell Generic - wget http - POST | RU | 2026-08-29 | 2026-08-29 | 1
103.72.1.2 | LOW | ET EXPLOIT HackingTrio UA (Hello, World) | PK | 2026-09-10 | 2026-09-10 | 1
103.180.212.54 | LOW | ET WEB_SPECIFIC_APPS React Server Components React2Shell Unsafe Flight Protocol Property Access (CVE-2025-55182) | IN | 2026-09-16 | 2026-09-16 | 1
104.152.52.228 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 23 | US | 2026-08-25 | 2026-08-25 | 1
104.152.52.241 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 23 | US | 2026-08-25 | 2026-08-25 | 1
104.199.209.176 | LOW | ET WEB_SERVER Next.js Middleware Authorization Bypass (CVE-2025-29927) | TW | 2026-09-22 | 2026-09-22 | 1
112.85.183.236 | LOW | ET WEB_SPECIFIC_APPS MVPower CCTV DVR /shell JAWS Webserver Unauthenticated Remote Command Execution (CVE-2016-20016) | CN | 2026-09-07 | 2026-09-07 | 1
117.50.194.182 | LOW | ET WEB_SERVER /bin/sh In URI Possible Shell Command Execution Attempt | CN | 2026-09-04 | 2026-09-04 | 1
135.129.179.206 | LOW | ET WEB_SERVER auto_prepend_file PHP config option in uri | US | 2026-09-18 | 2026-09-18 | 1
136.0.57.52 | LOW | ET WEB_SERVER /bin/sh In URI Possible Shell Command Execution Attempt | US | 2026-09-09 | 2026-09-09 | 2
136.85.59.234 | LOW | ET WEB_SERVER ThinkPHP RCE Exploitation Attempt | SG | 2026-09-21 | 2026-09-21 | 2
136.85.84.79 | LOW | ET WEB_SERVER Next.js Middleware Authorization Bypass (CVE-2025-29927) | SG | 2026-09-21 | 2026-09-21 | 1
136.85.89.49 | LOW | ET WEB_SERVER Next.js Middleware Authorization Bypass (CVE-2025-29927) | SG | 2026-09-21 | 2026-09-21 | 1
136.109.54.151 | LOW | ET WEB_SPECIFIC_APPS Vite Arbitrary File Read Via raw parameter (CVE-2025-30208) | US | 2026-09-06 | 2026-09-06 | 1
143.198.110.248 | LOW | ET Threatview.io High Confidence Cobalt Strike C2 IP group 19 | US | 2026-08-23 | 2026-08-23 | 1
144.225.6.184 | LOW | ET WEB_SERVER /bin/sh In URI Possible Shell Command Execution Attempt | US | 2026-09-14 | 2026-09-14 | 1
146.148.118.195 | LOW | ET WEB_SERVER Next.js Middleware Authorization Bypass (CVE-2025-29927) | BE | 2026-09-14 | 2026-09-14 | 1
154.16.44.81 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 30 | GB | 2026-08-24 | 2026-08-24 | 1
154.16.44.188 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 30 | GB | 2026-08-26 | 2026-08-26 | 1
154.16.44.190 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 30 | GB | 2026-08-24 | 2026-08-24 | 1
158.94.209.239 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 32 | NL | 2026-08-25 | 2026-08-26 | 3
158.94.211.230 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 32 | NL | 2026-08-25 | 2026-08-25 | 1
159.89.24.222 | LOW | ET WEB_SERVER PHP tags in HTTP POST | DE | 2026-09-06 | 2026-09-06 | 1
165.227.199.189 | LOW | ET WEB_SPECIFIC_APPS React Server Components React2Shell Unsafe Flight Protocol Property Access (CVE-2025-55182) | US | 2026-09-16 | 2026-09-16 | 1
168.144.80.239 | LOW | ET WEB_SERVER PHP tags in HTTP POST | IN | 2026-09-02 | 2026-09-02 | 1
172.70.214.246 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 36 | US | 2026-08-24 | 2026-08-24 | 1
172.94.9.193 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 36 | GB | 2026-08-24 | 2026-08-24 | 1
176.65.148.146 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 37 | NL | 2026-08-25 | 2026-08-25 | 1
178.16.52.62 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 37 | DE | 2026-08-25 | 2026-08-25 | 1
178.20.210.151 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 37 | KZ | 2026-08-24 | 2026-08-24 | 1
185.93.89.99 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 38 | NL | 2026-08-24 | 2026-08-24 | 1
185.93.89.147 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 38 | NL | 2026-08-25 | 2026-08-25 | 1
185.177.72.24 | LOW | ET WEB_SERVER PHP tags in HTTP POST | FR | 2026-09-04 | 2026-09-04 | 2
185.177.72.81 | LOW | ET WEB_SPECIFIC_APPS WordPress Plugin Gravity SMTP Unauthenticated REST API (CVE-2026-4020) | FR | 2026-09-03 | 2026-09-03 | 1
186.179.63.217 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 40 | US | 2026-08-24 | 2026-08-24 | 1
193.169.239.152 | LOW | ET WEB_SPECIFIC_APPS Vite Arbitrary File Read Via raw parameter (CVE-2025-30208) | NL | 2026-09-15 | 2026-09-15 | 1
194.233.84.90 | LOW | ET WEB_SERVER /bin/sh In URI Possible Shell Command Execution Attempt | SG | 2026-09-20 | 2026-09-20 | 1
195.178.110.15 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 46 | AD | 2026-08-26 | 2026-08-26 | 1
195.178.110.31 | LOW | ET WEB_SPECIFIC_APPS React Server Components React2Shell Unsafe Flight Protocol Property Access (CVE-2025-55182) | AD | 2026-09-01 | 2026-09-01 | 1
195.178.110.51 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 46 | AD | 2026-08-25 | 2026-08-25 | 1
195.178.110.137 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 46 | AD | 2026-08-24 | 2026-08-30 | 5
195.178.110.204 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 46 | AD | 2026-08-26 | 2026-08-26 | 2
204.76.203.43 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 57 | NL | 2026-08-23 | 2026-08-25 | 6
213.177.179.52 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 67 | NL | 2026-08-24 | 2026-08-24 | 1
213.209.159.15 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 67 | DE | 2026-08-24 | 2026-08-24 | 1
213.209.159.21 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 67 | DE | 2026-08-24 | 2026-08-24 | 1
217.160.171.212 | LOW | ET WEB_SERVER /bin/sh In URI Possible Shell Command Execution Attempt | DE | 2026-08-24 | 2026-08-24 | 1
